# epoch recerr_sq kldiv lact_dec valid_recerr_sq valid_kldiv duration
1 7.1601990e+01 1.4486240e-01 1.2011977e+01 2.0741871e+01 2.8570056e-01 8.2449722e-01
2 1.4006922e+01 5.3469473e-01 8.2471619e+01 6.4639215e+00 5.1893950e-01 1.4778221e+00
3 7.9135704e+00 3.4772509e-01 7.3062233e+01 7.8083401e+00 2.7025303e-01 2.1446810e+00
4 7.4705830e+00 5.8808565e-01 6.8430176e+01 4.8054390e+00 1.5740066e+00 2.7970989e+00
5 5.0622716e+00 2.7575817e+00 6.0148300e+01 4.6263299e+00 5.1377349e+00 3.4389329e+00
6 4.2165380e+00 6.8132958e+00 5.7577999e+01 3.5814142e+00 9.6219578e+00 4.0871389e+00
7 4.0553689e+00 1.1645383e+01 4.9260948e+01 3.5361521e+00 1.5015493e+01 4.7332547e+00
8 3.3313501e+00 1.7427732e+01 4.6905796e+01 3.1933618e+00 2.1319710e+01 5.3795946e+00
9 3.2543778e+00 2.4120739e+01 3.8298374e+01 2.9184525e+00 2.8479116e+01 6.0948706e+00
10 3.0012009e+00 3.1857216e+01 3.2678909e+01 2.8756583e+00 3.7458660e+01 6.8108437e+00
11 2.8798106e+00 4.1351879e+01 2.5553396e+01 2.9725375e+00 4.7597637e+01 7.4906065e+00
12 2.7237048e+00 5.1436600e+01 2.0281691e+01 3.0386081e+00 5.7444298e+01 8.1316936e+00
13 3.3646774e+00 6.0938915e+01 1.6063553e+01 2.7402871e+00 6.5481827e+01 8.7708826e+00
14 2.9406097e+00 6.7195404e+01 1.5647449e+01 3.1269522e+00 6.9716644e+01 9.4264677e+00
15 2.9362946e+00 7.0560333e+01 1.4502533e+01 2.3667116e+00 7.0715157e+01 1.0077410e+01
16 2.6073477e+00 7.0877365e+01 1.4781142e+01 2.3602128e+00 6.9501244e+01 1.0725543e+01
17 2.4336555e+00 6.9192902e+01 1.4498689e+01 2.5557940e+00 6.6996300e+01 1.1399552e+01
18 2.3865919e+00 6.6921608e+01 1.4831923e+01 2.2610869e+00 6.5039040e+01 1.2037067e+01
19 2.3203292e+00 6.5169655e+01 1.4524067e+01 2.2733545e+00 6.3416035e+01 1.2678890e+01
20 2.2388685e+00 6.3702709e+01 1.4961884e+01 2.1720288e+00 6.2268410e+01 1.3320024e+01
21 2.1966691e+00 6.2302513e+01 1.4103908e+01 2.1753190e+00 6.1356339e+01 1.3997133e+01
22 2.1756938e+00 6.1624199e+01 1.4693913e+01 2.1080203e+00 6.0327015e+01 1.4643575e+01
23 2.0779693e+00 6.1482018e+01 1.4784776e+01 2.1368301e+00 6.0778976e+01 1.5303989e+01
24 2.0743983e+00 6.0912018e+01 1.4305045e+01 1.7983783e+00 6.0367241e+01 1.5946221e+01
25 1.9094148e+00 6.1126522e+01 1.4937362e+01 2.0437934e+00 6.0183788e+01 1.6582804e+01
26 1.9207727e+00 6.1035885e+01 1.4499769e+01 1.7734469e+00 6.0961681e+01 1.7238564e+01
27 1.8637658e+00 6.1617645e+01 1.4699856e+01 1.8351936e+00 6.0730507e+01 1.7882448e+01
28 1.7503402e+00 6.2136230e+01 1.5022414e+01 1.8115509e+00 6.1223125e+01 1.8530936e+01
29 1.7362475e+00 6.2601051e+01 1.4712417e+01 1.5501122e+00 6.2710732e+01 1.9176276e+01
30 1.6435409e+00 6.3412411e+01 1.4651860e+01 1.7311816e+00 6.2478168e+01 1.9859781e+01
31 1.5954149e+00 6.3800903e+01 1.4647096e+01 1.4273030e+00 6.3319355e+01 2.0518637e+01
32 1.4674488e+00 6.4508537e+01 1.5017191e+01 1.4518214e+00 6.3542149e+01 2.1312453e+01
